# lon lat depth_km normal_Pa shear_Pa coulomb_Pa
# strike 15.000000, dip 45.000000, rake 0.000000
12.678971 41.599099 1.000000 0.191484 0.156149 0.232742
12.687980 41.599099 1.000000 0.191758 0.160851 0.237554
12.696989 41.599099 1.000000 0.191983 0.165460 0.242253
12.705998 41.599099 1.000000 0.192159 0.169971 0.246834
12.715007 41.599099 1.000000 0.192287 0.174381 0.251296
12.724016 41.599099 1.000000 0.192367 0.178686 0.255633
12.733025 41.599099 1.000000 0.192401 0.182882 0.259843
12.742035 41.599099 1.000000 0.192390 0.186967 0.263923
12.751044 41.599099 1.000000 0.192335 0.190936 0.267870
12.760053 41.599099 1.000000 0.192236 0.194787 0.271682
12.769062 41.599099 1.000000 0.192096 0.198516 0.275354
12.778071 41.599099 1.000000 0.191915 0.202120 0.278886
12.787080 41.599099 1.000000 0.191694 0.205596 0.282274
12.796089 41.599099 1.000000 0.191435 0.208942 0.285516
12.805098 41.599099 1.000000 0.191139 0.212155 0.288611
12.814107 41.599099 1.000000 0.190809 0.215232 0.291556
12.823116 41.599099 1.000000 0.190444 0.218172 0.294349
12.832125 41.599099 1.000000 0.190047 0.220971 0.296990
12.841134 41.599099 1.000000 0.189620 0.223628 0.299476
12.850143 41.599099 1.000000 0.189164 0.226141 0.301807
12.859152 41.599099 1.000000 0.188681 0.228509 0.303981
12.868161 41.599099 1.000000 0.188172 0.230730 0.305998
12.877170 41.599099 1.000000 0.187639 0.232802 0.307858
12.886179 41.599099 1.000000 0.187085 0.234725 0.309558
12.895188 41.599099 1.000000 0.186510 0.236497 0.311101
12.904197 41.599099 1.000000 0.185917 0.238118 0.312485
12.913206 41.599099 1.000000 0.185307 0.239587 0.313710
12.922215 41.599099 1.000000 0.184682 0.240905 0.314777
12.931224 41.599099 1.000000 0.184045 0.242070 0.315688
12.940233 41.599099 1.000000 0.183396 0.243083 0.316441
12.949242 41.599099 1.000000 0.182738 0.243944 0.317039
12.958251 41.599099 1.000000 0.182073 0.244653 0.317482
12.967260 41.599099 1.000000 0.181402 0.245212 0.317773
12.976269 41.599099 1.000000 0.180728 0.245620 0.317912
12.985278 41.599099 1.000000 0.180051 0.245880 0.317901
12.994287 41.599099 1.000000 0.179374 0.245992 0.317742
13.003296 41.599099 1.000000 0.178699 0.245958 0.317438
13.012305 41.599099 1.000000 0.178027 0.245780 0.316991
13.021314 41.599099 1.000000 0.177360 0.245459 0.316403
13.030323 41.599099 1.000000 0.176699 0.244997 0.315676
13.039332 41.599099 1.000000 0.176047 0.244396 0.314815
13.048341 41.599099 1.000000 0.175404 0.243660 0.313821
